patient_id,Complement,IL-6/JAK/STAT3 Signaling,Inflammatory Response,Interferon Alpha Response,Interferon Gamma Response,TNF-alpha Signaling via NF-kB
TCGA-3C-AALI,3367.442406410244,2793.0212165504527,1741.8890990744185,5161.196991668487,4485.154533249741,3688.7227576185724
TCGA-3C-AALK,3240.769097169534,2638.4823232590734,1829.5996902913685,4166.687085781257,3638.847366060465,4495.467134136363
TCGA-5T-A9QA,2361.707603152545,1635.1960205587475,864.8259133869415,4821.760901138223,3272.4983211100116,2781.4221147892276
TCGA-A1-A0SB,2530.678456358881,1716.399710880456,895.9729674957325,2410.4013849254807,2029.4164754949288,3864.8009618674278
TCGA-A1-A0SD,3520.482274614036,2837.6475030243346,2235.9040581483623,5913.368542187187,4641.371729252507,4476.014713474555
TCGA-A1-A0SE,2938.8494928291802,2241.9433287767442,1425.348925174505,3774.292134128371,3146.838699687354,3512.407203853729
TCGA-A1-A0SF,3141.7893761710875,2408.1067417595677,1474.9087707706985,4159.91236436599,3510.483704891867,3690.9658827416206
TCGA-A1-A0SG,3147.0843128295146,2292.673122078064,1408.8850158384193,4316.887840817277,3481.4823329700557,3520.263426544887
TCGA-A1-A0SH,3292.248891154006,2357.1368475662457,1814.2295745800093,3664.282381181656,3303.4601699396335,3770.5594042728535
TCGA-A1-A0SI,3841.7202979342565,3370.269677740471,2503.2534211071343,5993.433242486017,5009.3334272014745,4596.409964402745
TCGA-A1-A0SK,2107.727186100401,1266.2640160911287,113.37412114547988,1902.9818586768015,1509.1828547465993,2560.9705642489407
TCGA-A1-A0SN,3776.7933043823286,2533.650839298931,2225.594762252953,4396.754523840331,4036.1086059833124,3997.8240811444375
TCGA-A1-A0SO,2300.3369800365144,1637.3536030545565,689.9796120602805,3112.508833893331,2533.9057803273627,2546.7295031078975
TCGA-A1-A0SQ,2980.824858930331,2098.8071308899107,1176.1414812453695,3744.1972168358097,2976.109184915098,3405.051826909006
TCGA-A2-A04N,3063.0270520439226,2373.327852936709,1612.5806951606573,3794.963364395484,3206.661541306701,3922.687657105562
TCGA-A2-A04Q,4425.161747278593,4475.754629785706,3408.2205876887,6665.4664288600525,6147.5942466268625,4969.368906537602
