gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Significance
TTLL4,2049.6150530119403,1.6614891847508357,0.07545233820714799,22.020380338504005,1.8371552234318382e-107,1.8142448171160998e-104,Upregulated
SRSF12,92.08603569372505,3.0747736191024266,0.14359526243967524,21.412778993277353,1.0157160317553419e-101,7.104933642128617e-99,Upregulated
MPZ,116.79715373704326,3.1295347867553365,0.14778492335716956,21.176279120108987,1.5803318242979358e-99,9.475218095112052e-97,Upregulated
SLC43A3,1486.4257381187952,2.000961885878596,0.09472272958100508,21.124411160126158,4.745048242741937e-99,2.7468920654879874e-96,Upregulated
SFT2D2,6206.903744420728,1.4734517516807575,0.07299477360808271,20.1857157553757,1.3072062074964573e-90,4.669229321585218e-88,Upregulated
PAPSS1,6604.972301411504,1.2144371526610118,0.06063070261870944,20.030068928910293,3.0124073057624315e-89,9.725441124834558e-87,Upregulated
CLDN10,100.78035477409595,4.679278346259067,0.23472275939757428,19.93534141413738,2.0092941012144425e-88,5.7172931137606885e-86,Upregulated
COL9A1,121.23326995501156,5.455973362427275,0.2740150749844268,19.911216062610265,3.25321733900724e-88,9.102502114542257e-86,Upregulated
HAPLN3,1824.1552769326463,2.504804585561779,0.12762101577553178,19.62689742234456,9.111115682306953e-86,2.3175365162813507e-83,Upregulated
TRPM8,97.26443947967118,4.714055880656746,0.2403251909041203,19.61532148553439,1.1441130976202429e-85,2.866771743708752e-83,Upregulated
TBX19,239.3516354570443,1.6600567452014818,0.08465309783253681,19.610112183791003,1.2675204045320997e-85,3.129284198718366e-83,Upregulated
STEAP1B,42.517281637344816,2.784245235314999,0.14301319150104477,19.468450470141832,2.0332961083297632e-84,4.6760239817315153e-82,Upregulated
FAM171A1,1528.1431144664405,2.186769883250032,0.11438140464987485,19.118228963386183,1.78051401151526e-81,3.4357780718756533e-79,Upregulated
COL9A3,982.9602087727369,3.8054853670366224,0.19970292226178865,19.055732004001662,5.888709836076795e-81,1.0845471545199255e-78,Upregulated
CLCN4,389.63662851337006,2.2958434668670042,0.12230792145143055,18.77101204584449,1.3037794311574903e-78,2.210893847502217e-76,Upregulated
SUV39H2,698.6307151002328,1.2520095600895644,0.06815492399687252,18.370052912787585,2.2818925115269327e-75,3.451208241758032e-73,Upregulated
MMP7,5805.356796883915,3.3510976972825186,0.18288590226610887,18.32343365868896,5.380830699208581e-75,7.994104936133951e-73,Upregulated
LYPD5,374.48892381290455,2.0712597615521875,0.11311633319614582,18.310881399952954,6.776398159932706e-75,9.979137921837743e-73,Upregulated
CENPW,684.1452628743889,2.010335657627374,0.10979262299645608,18.310298112581425,6.849377139895723e-75,9.998899428223426e-73,Upregulated
DCHS2,162.73786313477657,3.304765469391489,0.18065693995636986,18.29304465242031,9.401432364988032e-75,1.3606141943398196e-72,Upregulated
UCHL1,1162.6182482415688,2.788566873797236,0.15276347551169928,18.2541465782747,1.917842254939194e-74,2.7056080483965703e-72,Upregulated
PLA2G4A,361.5479894937299,2.216121308119534,0.12174067250126691,18.203623017578384,4.830471502860372e-74,6.647045540165567e-72,Upregulated
