gene_name,Significance,log2FoldChange,pvalue,padj
TTLL4,Upregulated,1.6614891847508357,1.8371552234318382e-107,1.8142448171160998e-104
SRSF12,Upregulated,3.0747736191024266,1.0157160317553419e-101,7.104933642128617e-99
MPZ,Upregulated,3.1295347867553365,1.5803318242979358e-99,9.475218095112052e-97
SLC43A3,Upregulated,2.000961885878596,4.745048242741937e-99,2.7468920654879874e-96
SFT2D2,Upregulated,1.4734517516807575,1.3072062074964573e-90,4.669229321585218e-88
PAPSS1,Upregulated,1.2144371526610118,3.0124073057624315e-89,9.725441124834558e-87
CLDN10,Upregulated,4.679278346259067,2.0092941012144425e-88,5.7172931137606885e-86
COL9A1,Upregulated,5.455973362427275,3.25321733900724e-88,9.102502114542257e-86
HAPLN3,Upregulated,2.504804585561779,9.111115682306953e-86,2.3175365162813507e-83
TRPM8,Upregulated,4.714055880656746,1.1441130976202429e-85,2.866771743708752e-83
TBX19,Upregulated,1.6600567452014818,1.2675204045320997e-85,3.129284198718366e-83
STEAP1B,Upregulated,2.784245235314999,2.0332961083297632e-84,4.6760239817315153e-82
FAM171A1,Upregulated,2.186769883250032,1.78051401151526e-81,3.4357780718756533e-79
COL9A3,Upregulated,3.8054853670366224,5.888709836076795e-81,1.0845471545199255e-78
CLCN4,Upregulated,2.2958434668670042,1.3037794311574903e-78,2.210893847502217e-76
SUV39H2,Upregulated,1.2520095600895644,2.2818925115269327e-75,3.451208241758032e-73
MMP7,Upregulated,3.3510976972825186,5.380830699208581e-75,7.994104936133951e-73
LYPD5,Upregulated,2.0712597615521875,6.776398159932706e-75,9.979137921837743e-73
CENPW,Upregulated,2.010335657627374,6.849377139895723e-75,9.998899428223426e-73
DCHS2,Upregulated,3.304765469391489,9.401432364988032e-75,1.3606141943398196e-72
UCHL1,Upregulated,2.788566873797236,1.917842254939194e-74,2.7056080483965703e-72
PLA2G4A,Upregulated,2.216121308119534,4.830471502860372e-74,6.647045540165567e-72
FOXC1,Upregulated,2.9235592287542507,5.612175839431645e-73,7.137667272149884e-71
MFGE8,Upregulated,2.2314317764317484,6.31664227378529e-73,7.97321733024868e-71
ATL2,Upregulated,1.1395099633145473,1.0695279527310484e-72,1.3300174274406548e-70
IGF2BP2,Upregulated,2.91221690074093,3.119145113022904e-72,3.7945078374948194e-70
UBASH3B,Upregulated,1.8984889254194066,3.984224617952409e-72,4.8120261069197875e-70
B3GNT5,Upregulated,2.318476875667723,4.0533250531112084e-72,4.8605157851164976e-70
FOXL1,Upregulated,2.081247839882866,6.33294593455908e-70,6.771815054100499e-68
GFRA3,Upregulated,3.789558677287352,2.2156054142570192e-69,2.2960236848485702e-67
DEK,Upregulated,1.2632055880144286,4.6283059911952097e-69,4.737804937816169e-67
UGT8,Upregulated,3.4900268120937765,7.48957381586951e-69,7.484224120286747e-67
RIOK1,Upregulated,1.0392836664078908,9.35252071281641e-69,9.235889278044816e-67
LPIN1,Upregulated,1.5406052527987297,9.312825580790354e-69,9.235889278044816e-67
ANP32E,Upregulated,1.520283801153067,1.749935320424553e-68,1.6883858712234135e-66
EN1,Upregulated,3.4995928744952964,2.229495143820909e-68,2.126634345140081e-66
CDKAL1,Upregulated,1.021830875359524,6.311059336280466e-68,5.95225079424025e-66
MICALL1,Upregulated,1.2858974709552977,1.3786625924012497e-67,1.2858326445128988e-65
PDSS1,Upregulated,1.1949685408943616,2.5936979673642984e-67,2.405690689287947e-65
CHODL,Upregulated,3.2578917823633398,1.9865047506616545e-66,1.7645207277305743e-64
PUM3,Upregulated,1.0826615962412651,2.9279763955054037e-66,2.5870983014602482e-64
S100B,Upregulated,3.224606380823893,1.4975254818189521e-65,1.2958998860194108e-63
MMP20,Upregulated,4.498735336960976,4.336287838332634e-65,3.621771155717824e-63
CDK2AP1,Upregulated,1.2836387925715549,5.465331826623798e-65,4.4757068636761135e-63
YBX1,Upregulated,1.1607155962884588,1.101362660891193e-64,8.889267476462187e-63
AMER1,Upregulated,1.2727048382165573,2.9490173323177845e-64,2.3463555912299036e-62
LYPD1,Upregulated,2.074217049604502,5.602309942238647e-64,4.354239782884371e-62
CDCA2,Upregulated,1.8871532756325795,8.501730945334512e-64,6.54711280322366e-62
LOXL4,Upregulated,2.7098245264793075,9.09002410199739e-64,6.968188339010601e-62
PRKX,Upregulated,1.6583312167672597,1.5977482828296056e-63,1.2137103245313764e-61
BAG2,Upregulated,1.5136132021663298,2.530062045115941e-63,1.913273946549839e-61
NCAN,Upregulated,5.1176694486004735,4.619964446723892e-63,3.447109472515586e-61
RSU1,Upregulated,1.0664898264122993,6.754094003588529e-63,4.9514292634167784e-61
IL1R2,Upregulated,2.5180317533488097,7.267113262116478e-63,5.2813981577667286e-61
BPI,Upregulated,3.907852923948974,1.4375495905411381e-62,1.0357760740774517e-60
BCL2L14,Upregulated,2.627939043196921,2.366055655299371e-62,1.6831077263205866e-60
L3MBTL4,Upregulated,2.2062948128197037,2.844195367753855e-62,2.006233270329904e-60
RGMA,Upregulated,2.300167508630543,4.2098682063848576e-62,2.944802810366208e-60
COL26A1,Upregulated,2.996824876708566,6.066725918766753e-62,4.226066171130964e-60
CCDC82,Upregulated,1.3005445993708766,7.495542533681021e-62,5.173584677050586e-60
CLDN6,Upregulated,4.257068084576705,7.500371967269164e-62,5.173584677050586e-60
CHST2,Upregulated,1.8415727706895224,9.138577049330478e-62,6.261976796088167e-60
BCL2A1,Upregulated,2.5158886979897166,2.265020776183291e-61,1.533272935103431e-59
FANCE,Upregulated,1.2627157747810969,2.5156444337005164e-61,1.6960899097576014e-59
KHDRBS3,Upregulated,1.808446720949939,2.558474641851437e-61,1.7180668914960771e-59
LDHB,Upregulated,2.149345053380614,3.599691025765211e-61,2.407633981695074e-59
ADAMTS3,Upregulated,1.9537953247860664,3.627981652161292e-61,2.4169268244636416e-59
C9orf40,Upregulated,1.2363869478651794,5.169056660825761e-61,3.4164615441709797e-59
AADAT,Upregulated,2.0749485794195426,6.505885432653004e-61,4.2831688095442595e-59
PHF24,Upregulated,2.9107017750985023,8.209043235711882e-61,5.3623897992658e-59
PDE7A,Upregulated,1.2328257932720381,2.4429098905271328e-60,1.5593753324018823e-58
MAP2,Upregulated,2.227685762869607,3.130202449255126e-60,1.990524193867237e-58
MRAS,Upregulated,1.4991090062560095,3.226186593827373e-60,2.043819642912224e-58
CYP27C1,Upregulated,3.0090015512169215,4.378379544572006e-60,2.7529676327443758e-58
RASGEF1C,Upregulated,3.469929614441258,2.8182072198893905e-59,1.6777327236703222e-57
ST3GAL6,Upregulated,1.5036276383170517,2.868220157660042e-59,1.7014727917596037e-57
KBTBD12,Upregulated,3.9119368347083503,3.2634718639794847e-59,1.9291255511439293e-57
TIGD2,Upregulated,1.0800364238311235,9.545988906339656e-59,5.58390459092788e-57
MTHFD1L,Upregulated,1.559179872342228,1.0821279799490896e-58,6.307904349786568e-57
PELI1,Upregulated,1.288393353119568,1.2294923896127482e-58,7.142117036961528e-57
CCDC77,Upregulated,1.1235181338770344,2.1375500696368698e-58,1.2289448825021839e-56
KCNQ4,Upregulated,2.450351229290364,2.260583163504269e-58,1.295244714979852e-56
STAC,Upregulated,2.6064323754731915,3.95333939464961e-58,2.2421845188303263e-56
KRT79,Upregulated,3.7420810072829096,4.240028203233137e-58,2.396686649019458e-56
ARL9,Upregulated,2.484466784552256,5.339474643596109e-58,3.008023500560117e-56
NCK2,Upregulated,1.0295211791534615,7.826865883517524e-58,4.350908094453383e-56
PLCG2,Upregulated,1.505823804747357,1.1460901914372769e-57,6.308381027491476e-56
