Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Extrinsic Apoptotic Signaling Pathway (GO:0097191),6/67,4.571984204523242e-05,0.0600301526053901,0,0,10.38625405452792,103.7896100751904,P2RX7;DAXX;CASP8;CASP10;TNFSF12;BAK1
GO_Biological_Process_2023,Regulation Of miRNA Transcription (GO:1902893),5/59,0.0002606991334876344,0.1711489811346319,0,0,9.72862490149724,80.28200933653855,KLF5;TERT;MRTFA;TP53;ESR1
GO_Biological_Process_2023,Positive Regulation Of Protein Kinase Activity (GO:0045860),7/145,0.0005260049396714985,0.1787357136232603,0,0,5.363994078229703,40.49922784410192,SLC27A1;DAXX;RALB;STRADB;SPDYA;ECT2;CAMKK2
GO_Biological_Process_2023,Golgi To Vacuole Transport (GO:0006896),3/17,0.0005445109325918061,0.1787357136232603,0,0,22.32293233082707,167.77073333023532,CCDC91;VPS52;VTI1A
GO_Biological_Process_2023,Positive Regulation Of miRNA Transcription (GO:1902895),4/43,0.0007729102570111488,0.2029662334911277,0,0,10.727445394112062,76.86587524964882,KLF5;TERT;MRTFA;TP53
GO_Biological_Process_2023,Positive Regulation Of miRNA Metabolic Process (GO:2000630),4/49,0.0012685880267434,0.2776093465190143,0,0,9.29429747207525,61.99157730849524,KLF5;TERT;MRTFA;TP53
GO_Biological_Process_2023,Positive Regulation Of Release Of Cytochrome C From Mitochondria (GO:0090200),3/25,0.0017401076667094,0.2994575388735999,0,0,14.19976076555024,90.22255767173152,TNFSF10;BAK1;TP53
GO_Biological_Process_2023,Positive Regulation Of Mitochondrion Organization (GO:0010822),4/58,0.0023748626446292,0.2994575388735999,0,0,7.7417205565353715,46.78179034604944,TNFSF10;BAK1;TP53;CAMKK2
GO_Biological_Process_2023,Positive Regulation Of Calcium Ion Transport Into Cytosol (GO:0010524),2/8,0.0024966504284859,0.2994575388735999,0,0,34.55671902268761,207.0916880142869,P2RX7;P2RX4
GO_Biological_Process_2023,Positive Regulation Of Protein Binding (GO:0032092),4/59,0.0025286205815448,0.2994575388735999,0,0,7.6005772005772,45.45206996350012,TCF7L2;RALB;TERT;SPPL3
GO_Biological_Process_2023,Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001236),4/60,0.0026890802147489,0.2994575388735999,0,0,7.464474678760393,44.17891193009921,TCF7L2;TNFSF12;TNFSF10;CFLAR
GO_Biological_Process_2023,Ras Protein Signal Transduction (GO:0007265),6/144,0.0027708506900913,0.2994575388735999,0,0,4.573122529644269,26.929293432874157,RALB;CDKN2A;SGSM3;MYO9B;TP53;RGL2
GO_Biological_Process_2023,Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:0008625),3/30,0.0029649261274613,0.2994575388735999,0,0,11.567251461988304,67.33185060721634,DAXX;CASP8;CASP10
GO_Biological_Process_2023,DNA Damage Response (GO:0006974),10/384,0.0042434247734736,0.3409947761277319,0,0,2.8393384179305103,15.50955846584878,BABAM1;RAD51B;ANKLE1;PHF1;SPDYA;ATM;BAK1;TP53;ZBTB4;CENPS
GO_Biological_Process_2023,Pentose-Phosphate Shunt (GO:0006098),2/11,0.004811564595287,0.3409947761277319,0,0,23.03432228039558,122.92802711095908,PGLS;PGD
GO_Biological_Process_2023,"DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0030330)",3/36,0.004998049565588,0.3409947761277319,0,0,9.461244019138755,50.13236492296996,ATM;MDM4;TP53
GO_Biological_Process_2023,Response To Ionizing Radiation (GO:0010212),4/72,0.0051879766499478,0.3409947761277319,0,0,6.143479614067849,32.32337437329793,BABAM1;ATM;ECT2;TP53
