Gene,Complement,IL-6/JAK/STAT3 Signaling,Inflammatory Response,Interferon Alpha Response,Interferon Gamma Response,TNF-alpha Signaling via NF-kB
ANKLE1,0.534027749284342,0.6705068700352084,0.9812437895033395,0.5504741605419371,0.6232184343753912,0.9487224622655939
NIBAN3,7.827053405792867e-10,2.1655107025702182e-10,8.70821440407936e-08,4.1483574621464953e-07,1.4876463577819405e-09,2.136860315884831e-06
TERT,0.09014921677626403,0.5573817805096476,0.4057943929883933,0.9881653266710835,0.8530362391859153,0.2771216753514867
CPAMD8,0.16036428908398634,0.25319630327775916,0.07453058368697148,0.04763725986266951,0.04763725986266951,0.25159536239227315
CCDC170,1.6714158049683085e-09,2.8918019339421634e-07,1.952510018181467e-06,0.0723044069805697,0.0022634064930786495,1.9502937717418858e-05
RMND1,0.058965846418916855,0.534027749284342,0.47442046746558103,0.46514474608396833,0.30587735079178324,0.534027749284342
ESR1,1.931125299980342e-06,1.0579868820121582e-06,0.000119813528877484,0.001145933432039245,0.0001555514820441812,0.0005405918795536741
PTHLH,0.17724060222353516,0.3589120323696723,0.15777976882587472,0.6283705780519566,0.591187876764654,0.04763725986266951
SLC35F2,0.09014921677626403,0.36365888783656897,0.42414589122521384,0.47442046746558103,0.2771216753514867,0.16036428908398634
PCARE,0.5607642129385815,0.584340684735053,0.25921569964901225,0.36567192447325914,0.49231294579370044,0.1098572652798984
ALK,0.47442046746558103,0.8498986671263034,0.584340684735053,0.9185123884047507,0.9207468659554643,0.8722046301638507
KIFC1,0.025967872758207455,0.4904222187006293,0.534027749284342,0.9881653266710835,0.8380184234354422,0.2771216753514867
COL11A2,0.0723044069805697,0.46514474608396833,0.3589120323696723,0.8911999482483848,0.6283705780519566,0.591187876764654
TOX3,0.3815729176931336,0.03060911397450199,0.01809028302728085,0.021820327030111705,0.021820327030111705,0.021820327030111705
FBXO32,0.6978468785865091,0.6505675203497638,0.591187876764654,0.6283705780519566,0.6169748070124276,0.5956500600043685
CDKN2A,0.33699518330848943,0.8911999482483848,0.802424462217493,0.33699518330848943,0.591187876764654,0.8380184234354422
KLF5,0.7668454980107293,0.6232184343753912,0.8722046301638507,0.7010793553870978,0.6965792834486247,0.55174929671632
FGF11,0.8155715581665028,0.534027749284342,0.5331839697546454,0.802424462217493,0.8722046301638507,0.47442046746558103
HNF1A,0.23406445032954534,0.802424462217493,0.802424462217493,0.802424462217493,0.8498986671263034,0.8911999482483848
RAD51B,0.6700898167256205,0.534027749284342,0.802424462217493,0.8911999482483848,0.7190851981152045,0.8157228039778527
