Gene,Complement,IL-6/JAK/STAT3 Signaling,Inflammatory Response,Interferon Alpha Response,Interferon Gamma Response,TNF-alpha Signaling via NF-kB
ANKLE1,-0.09523595438265221,0.06336825068560895,0.004113653733758935,0.09252349053634851,0.07348379265386862,-0.008796775015360636
NIBAN3,0.5741806411005709,0.5932952689235564,0.5120037764690014,0.48784636364998724,0.5635330965547213,0.4588634626624107
TERT,-0.2092493518560146,-0.09002083052346055,-0.12502809872768958,0.001401189887455229,-0.028465884398087785,-0.15210028623237273
CPAMD8,-0.1831362675898035,-0.16023018477723325,-0.21724437650796502,-0.2362915673844955,-0.23686103493233826,-0.16158641670038512
CCDC170,0.559322033898305,0.49459005829549363,0.461545954532512,0.21938737280642598,0.3269567953963044,0.4235789536783108
RMND1,-0.22837147267305066,-0.09647979139504563,-0.11012453356112034,-0.11589413898005364,-0.1466154145873608,-0.09803833415756266
ESR1,0.46321689220578754,0.4733549131561989,0.39114178243342473,0.3430592396109637,0.3850349922822161,0.3598285602961231
PTHLH,0.17814593355212874,0.1358255031545505,0.18596112634686568,0.07045662305744128,0.08033988221013352,0.23731810756942257
SLC35F2,-0.20855250340931225,-0.1334277450583704,-0.12178363230379594,-0.11280702543122181,-0.15278214869097395,-0.18324116950651137
PCARE,0.0887854313124685,0.0845529080041909,0.15814928404014547,0.13218380417021552,0.1062183243002856,0.20048202159687223
ALK,0.1102743934421316,0.029679749434278944,0.08446852193199358,-0.014079335821007356,0.012917921743170135,0.024606992462047984
KIFC1,-0.2592725801375713,-0.10735212576241214,-0.09928217116995608,-0.0013862038993541037,-0.032706919030706286,-0.1525049079111031
COL11A2,-0.2202790390984429,-0.11497250071183444,-0.13505372476734254,-0.019946350162597968,-0.07072637084326154,-0.08225059569302702
TOX3,-0.12910525487972677,-0.25326509662999214,-0.2748001228937376,-0.26596581671247255,-0.26547127539952636,-0.2678690514622955
FBXO32,0.05875256635046231,0.06718967765139594,0.08039233316848746,0.07145319126616613,0.07582909979169476,0.07901362226318391
CDKN2A,-0.14007403078121958,-0.019167078781339445,-0.04054459080759489,0.14029882060273643,0.08065458796025715,-0.032954187834374864
KLF5,-0.04888429318587121,-0.07417314810652041,-0.02501161414077837,-0.057576166284523965,-0.05971916258298491,0.09151193633952254
FGF11,0.0377129455202902,0.0958896411331519,0.10071896626484812,0.04067648018217669,0.023730756698342743,0.11128803235989468
HNF1A,-0.1657393009526174,-0.04027271201431794,-0.03997745197699143,0.043142033915516645,-0.02984397608054165,0.01888907161870914
RAD51B,-0.06423743799547423,-0.09750633157997272,-0.042477783272640075,-0.018073101649957287,-0.05480375848581576,0.03683555875256635
